"GDP per capita, current prices
 (U.S. dollars per capita)",1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Afghanistan,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,207.946,201.051,218.461,252.618,272.189,330.295,389.63,440.607,543.652,611.642,666.089,639.473,630.136,594.213,520.267,529.773,499.799,499.762,516.664,356.063,355.411,408.721,416.85,no data,no data,no data,no data,no data,no data
Albania,728.359,817.734,824.542,815.529,788.332,788.801,855.724,832.245,805.046,860.784,675.736,408.022,259.75,452.623,736.028,903.989,1009.967,706.623,816.622,1037.599,1129.033,1283.237,1427.675,1829.632,2371.13,2673.773,2972.745,3595.053,4370.562,4114.09,4097.833,4439.89,4248.909,4415.6,4584.919,3953.611,4124.405,4542.76,5365.55,5459.304,5381.096,6396.387,6908.099,8594.203,9948.352,11108.181,12146.864,12949.974,13903.023,14931.4,16041.108
Algeria,2462.085,2502.13,2446.588,2514.256,2640.191,2988.545,2929.092,2935.816,2326.571,2309.34,2684.465,1975.201,2033.196,2056.556,1674.567,1626.997,1783.41,1800.196,1772.368,1769.091,1947.755,1919.41,1958.238,2304.603,2839.82,3258.153,3690.572,4208.244,5214.762,4262.144,4941.493,5946.345,6057.974,5997.896,6108.878,4691.686,4426.58,4554.15,4568.244,4452.856,3757.585,4169.218,4982.294,5396.323,5772.289,6095.322,5955.693,6010.662,6065.502,6127.333,6096.402
Andorra,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,49030.229,51957.313,45713.97,45630.195,46299.282,38877.485,39595.317,40017.741,42229.903,40688.491,36973.845,41806.876,41378.881,44483.604,46359.174,49450.638,51681.217,51992.006,52337.795,52727.012,53127.552
Angola,1055.339,961.721,936.935,951.5,982.624,1074.327,977.905,1089.96,1151.19,1303.41,1397.414,1310.218,977.93,687.658,484.971,585.668,730.731,830.042,680.922,623.486,771.405,730.652,988.318,1122.365,1438.272,2128.257,2909.07,3493.014,4554.334,3630.103,4089.461,5175.442,5699.986,5880.641,6061.865,4680.829,3936.361,4628.964,3651.304,2926.143,1989.939,2445.388,4002.427,3066.24,3034.488,2930.687,2700.964,2727.063,2803.992,2891.586,2989.816
Antigua and Barbuda,1935.185,2199.885,2479.482,2794.113,3259.986,3849.091,4730.844,5612.084,6756.819,7544.716,7942.795,8300.01,8503.023,8956.805,9647.492,9257.868,9930.48,10443.403,10931.956,11286.196,11918.516,11416.566,11563.672,12091.262,12959.362,14297.453,16123.605,18197.385,18843.264,16580.39,15342.915,15045.044,15723.96,15050.657,15423.336,15839.184,16163.761,16401.359,17470.66,17899.372,14419.909,16128.189,18522.672,19627.038,21325.684,22313.811,23116.824,23858.073,24608.756,25384.53,26186.273
Argentina,8361.209,6671.428,3257.853,3962.735,4374.783,3248.745,3857.027,3909.984,4524.498,2867.307,4857.796,6429.454,7653.711,7796.24,8378.735,8295.123,8645.455,9196.516,9283.175,8709.072,8638.543,8085.356,2997.621,3761.088,4314.098,5163.55,5976.082,7315.726,9146.79,8337.811,10412.974,12787.806,13889.792,14488.829,13208.831,14895.316,12772.868,14618.327,11786.433,9941.59,8489.332,10610.191,13702.23,13908.489,13523.326,14358.848,13895.282,14633.434,15382.449,16126.293,16845.068
Armenia,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,31.321,247.884,199.126,396.205,492.571,506.52,585.902,572.933,595.169,662.051,746.684,886.946,1136.729,1567.095,2054.635,2982.239,3803.669,2847.479,3066.164,3353.7,3514.003,3690.126,3863.927,3526.713,3539.624,3882.604,4205.216,4598.782,4267.453,4674.214,6539.113,7972.505,8330.239,8968.916,9392.848,10193.151,10951.704,11728.635,12576.274
Aruba,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,13707.689,13947.141,15339.075,16580.538,16989.122,18403.097,18615.368,18990.06,19483.668,21184.253,22019.174,22734.059,24605.92,26166.555,23394.082,22460.226,24440.011,24334.532,25458.466,25945.463,27327.794,27469.594,28424.88,30082.711,30702.925,22515.229,26151.44,29915.564,34517.1,38413.836,39606.356,41026.391,42761.395,44358.95,46080.369,47783.036
Australia,11007.174,12528.041,12234.41,11591.643,12574.703,10967.26,11244.877,12998.218,16245.499,18209.093,18877.855,18668.356,18112.606,17455.977,19748.759,20929.101,23167.59,23036.306,20394.901,21775.12,20912.068,19503.999,21703.986,27293.655,32861.57,36260.401,37980.579,45207.836,49198.337,45771.876,56584.667,67289.332,68481.215,65237.777,61629.37,51446.14,51779.44,55781.958,56356.895,54320.676,53165.336,64245.002,65555.252,64639.952,65528.884,65946.015,69358.357,71625.508,74111.9,76543.462,79263.254
Austria,10673.228,9229.942,9216.949,9365.702,8834.022,9041.048,12815.58,16004.95,17536.325,17451.786,21707.996,22498.089,24931.218,24020.491,25584.781,30184.445,29657.412,26603.585,27249.493,27105.607,24498.114,24430.662,26315.717,32114.633,36608.939,38190.312,40387.725,46630.129,51575.468,47816.021,46662.235,51126.851,48302.044,50321.474,51342.747,43986.748,45032.903,47055.738,50963.207,50010.449,48764.175,53827.418,52587.378,56215.892,57207.888,61694.026,65640.479,67804.654,69819.264,71807.359,73639.92
Azerbaijan,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,159.971,174.875,297.162,316.227,411.14,553.468,543.344,576.005,656.386,674.783,760.812,879.863,1039.818,1567.194,2453.261,3813.751,5564.444,4964.696,5880.509,7238.602,7545.553,7926.6,7938.578,5524.527,3897.788,4217.653,4759.796,4841.145,4280.429,5468.269,7831.176,7151.946,7251.303,7365.278,7624.179,7959.569,8336.635,8737.638,9158.248
